"User Story Number","User Story Description","Feature Number","Feature Description"
"US-75","As a Loan Editor, I want to edit loan filing records, so that I correct or add filings.","F-3","Save and return to view mode."
"US-76","As a Loan User, I want to view loan recording data, so that county recording status is transparent.","F-1","List recording number, book, and page."
"US-76","As a Loan User, I want to view loan recording data, so that county recording status is transparent.","F-2","Show status (Recorded / Pending)."
"US-76","As a Loan User, I want to view loan recording data, so that county recording status is transparent.","F-3","Provide link to scanned image."
"US-77","As a Loan User, I want to view borrower/entity information, so that I know who is obligated.","F-1","Display borrower grid with names and ownership %."
"US-77","As a Loan User, I want to view borrower/entity information, so that I know who is obligated.","F-2","Link borrower rows to full contact profile."
"US-77","As a Loan User, I want to view borrower/entity information, so that I know who is obligated.","F-3","Allow export to CSV."
"US-78","As a Loan Editor, I want to edit borrower/entity data, so that inaccuracies are fixed.","F-1","Provide add, edit, and delete controls in borrower grid."
"US-78","As a Loan Editor, I want to edit borrower/entity data, so that inaccuracies are fixed.","F-2","Require ownership percentages total 100%."
"US-78","As a Loan Editor, I want to edit borrower/entity data, so that inaccuracies are fixed.","F-3","Record changes in audit trail."
"US-79","As a Loan User, I want to view property inspection records, so that I confirm asset condition.","F-1","List inspections with date and outcome."
"US-79","As a Loan User, I want to view property inspection records, so that I confirm asset condition.","F-2","Display attachments thumbnail gallery."
"US-79","As a Loan User, I want to view property inspection records, so that I confirm asset condition.","F-3","Indicate next inspection due date."
"US-80","As an Inspector, I want to add a property inspection, so that new site visits are recorded.","F-1","Launch “Add Inspection” dialog with required fields."
"US-80","As an Inspector, I want to add a property inspection, so that new site visits are recorded.","F-2","Allow multiple photo uploads."
"US-80","As an Inspector, I want to add a property inspection, so that new site visits are recorded.","F-3","Save inspection and refresh list."
"US-81","As a Loan User, I want to view property pictures, so that I see visual evidence of condition.","F-1","Show image gallery tied to inspection."
"US-81","As a Loan User, I want to view property pictures, so that I see visual evidence of condition.","F-2","Provide full-size preview on click."
"US-81","As a Loan User, I want to view property pictures, so that I see visual evidence of condition.","F-3","Allow download of original images."
"US-82","As an Inspector, I want to add property pictures, so that inspections include visuals.","F-1","Enable drag-and-drop image upload area."
"US-82","As an Inspector, I want to add property pictures, so that inspections include visuals.","F-2","Store images with metadata (date, caption)."
"US-82","As an Inspector, I want to add property pictures, so that inspections include visuals.","F-3","Display newly added images immediately."
"US-83","As a Loan User, I want to view loan documents, so that I can review executed paperwork.","F-1","List documents with type, date, and download link."
"US-83","As a Loan User, I want to view loan documents, so that I can review executed paperwork.","F-2","Support preview for PDF/Images."
"US-83","As a Loan User, I want to view loan documents, so that I can review executed paperwork.","F-3","Allow filter by document type."
"US-84","As a Loan Editor, I want to add a document, so that new paperwork is stored with the loan.","F-1","Provide upload control on Documents tab."
"US-84","As a Loan Editor, I want to add a document, so that new paperwork is stored with the loan.","F-2","Require document type selection."
"US-84","As a Loan Editor, I want to add a document, so that new paperwork is stored with the loan.","F-3","Save file to document repository."
"US-85","As a Loan User, I want to view loan notes, so that communication history is transparent.","F-1","Display chronological list of notes."
"US-85","As a Loan User, I want to view loan notes, so that communication history is transparent.","F-2","Show author and timestamp per note."
"US-85","As a Loan User, I want to view loan notes, so that communication history is transparent.","F-3","Provide text-search within notes."
"US-86","As a Loan Editor, I want to add a note, so that I log important updates.","F-1","Present rich-text note entry box."
"US-86","As a Loan Editor, I want to add a note, so that I log important updates.","F-2","Save note to loan and update note count badge."
"US-86","As a Loan Editor, I want to add a note, so that I log important updates.","F-3","Restrict note length to 4,000 characters."
"US-87","As a Loan User, I want to view exceptions, so that outstanding issues are visible.","F-1","List exceptions with severity and due date."
"US-87","As a Loan User, I want to view exceptions, so that outstanding issues are visible.","F-2","Color-code by severity level."
"US-87","As a Loan User, I want to view exceptions, so that outstanding issues are visible.","F-3","Include link to resolve workflow."
"US-88","As a Loan Editor, I want to add an exception, so that new issues are tracked.","F-1","Provide “Add Exception” dialog capturing reason and severity."
"US-88","As a Loan Editor, I want to add an exception, so that new issues are tracked.","F-2","Validate that due date is entered."
"US-88","As a Loan Editor, I want to add an exception, so that new issues are tracked.","F-3","Save exception and refresh list."
"US-89","As a Customer Service Agent, I want to view customer service information on a loan, so that borrower inquiries are handled efficiently.","F-1","Display service requests tied to the loan."
"US-89","As a Customer Service Agent, I want to view customer service information on a loan, so that borrower inquiries are handled efficiently.","F-2","Show status and assigned agent for each request."
"US-89","As a Customer Service Agent, I want to view customer service information on a loan, so that borrower inquiries are handled efficiently.","F-3","Link service request number to its ticket detail."
"US-90","As a HUD admin, I want to view reinstatement details, so that I can assess a borrower’s loan reinstatement status.","F-1","Add “Reinstatement” option to loan navigation menu"
"US-90","As a HUD admin, I want to view reinstatement details, so that I can assess a borrower’s loan reinstatement status.","F-2","Fetch reinstatement record by loan ID and display read-only data"
"US-90","As a HUD admin, I want to view reinstatement details, so that I can assess a borrower’s loan reinstatement status.","F-3","Show key fields: amount due, good-through date, status"
"US-90","As a HUD admin, I want to view reinstatement details, so that I can assess a borrower’s loan reinstatement status.","F-4","Display “no data” message when record absent"
"US-90","As a HUD admin, I want to view reinstatement details, so that I can assess a borrower’s loan reinstatement status.","F-5","Record page access in audit log"
"US-91","As a HUD admin, I want to view payoff information, so that I can confirm payoff amounts and dates.","F-1","Add “Payoff” tab under loan menu"
"US-91","As a HUD admin, I want to view payoff information, so that I can confirm payoff amounts and dates.","F-2","Retrieve payoff amount, effective date, and status from database"
"US-91","As a HUD admin, I want to view payoff information, so that I can confirm payoff amounts and dates.","F-3","Format currency and dates per locale"
"US-91","As a HUD admin, I want to view payoff information, so that I can confirm payoff amounts and dates.","F-4","Provide downloadable payoff letter PDF link when available"
"US-91","As a HUD admin, I want to view payoff information, so that I can confirm payoff amounts and dates.","F-5","Audit each payoff view event"
"US-92","As a HUD admin, I want to view loan balance transfer details, so that I can track any transfers between loans.","F-1","Provide “Balance Transfer” sub-tab"
"US-92","As a HUD admin, I want to view loan balance transfer details, so that I can track any transfers between loans.","F-2","List all transfer transactions with source, target, amount"
"US-92","As a HUD admin, I want to view loan balance transfer details, so that I can track any transfers between loans.","F-3","Enable sort by date and amount"
"US-92","As a HUD admin, I want to view loan balance transfer details, so that I can track any transfers between loans.","F-4","Show warning when no transfers exist"
"US-92","As a HUD admin, I want to view loan balance transfer details, so that I can track any transfers between loans.","F-5","Log user access to balance transfer data"
"US-93","As a HUD admin, I want to add a generic transaction, so that loan activity is accurately recorded.","F-1","Display “Add Transaction” button on Transactions tab"
"US-93","As a HUD admin, I want to add a generic transaction, so that loan activity is accurately recorded.","F-2","Present form with type, amount, date, reference fields"
"US-93","As a HUD admin, I want to add a generic transaction, so that loan activity is accurately recorded.","F-3","Validate required fields before save"
"US-93","As a HUD admin, I want to add a generic transaction, so that loan activity is accurately recorded.","F-4","Persist transaction to database and refresh grid"
"US-93","As a HUD admin, I want to add a generic transaction, so that loan activity is accurately recorded.","F-5","Show success or error toast message"
"US-94","As a HUD admin, I want to view loan history, so that I can review all historical changes to the loan.","F-1","Add “History” tab to loan detail"
"US-94","As a HUD admin, I want to view loan history, so that I can review all historical changes to the loan.","F-2","Display chronological list of status and data changes"
"US-94","As a HUD admin, I want to view loan history, so that I can review all historical changes to the loan.","F-3","Provide filter by change type and user"
"US-94","As a HUD admin, I want to view loan history, so that I can review all historical changes to the loan.","F-4","Export history list to CSV"
"US-94","As a HUD admin, I want to view loan history, so that I can review all historical changes to the loan.","F-5","Audit access to history tab"
"US-95","As a HUD admin, I want to view disbursements, so that I can monitor funds paid out on the loan.","F-1","Create “Disbursements” tab within loan file"
"US-95","As a HUD admin, I want to view disbursements, so that I can monitor funds paid out on the loan.","F-2","List each disbursement with date, payee, amount, purpose"
"US-95","As a HUD admin, I want to view disbursements, so that I can monitor funds paid out on the loan.","F-3","Sum and display total disbursed amount"
"US-95","As a HUD admin, I want to view disbursements, so that I can monitor funds paid out on the loan.","F-4","Support pagination for long lists"
"US-95","As a HUD admin, I want to view disbursements, so that I can monitor funds paid out on the loan.","F-5","Record viewing activity in audit log"
"US-96","As a HUD admin, I want to view monthly statements, so that I can verify statement generation and contents.","F-1","Provide “Monthly Statements” link on loan menu"
"US-96","As a HUD admin, I want to view monthly statements, so that I can verify statement generation and contents.","F-2","List statements with billing period and creation date"
"US-96","As a HUD admin, I want to view monthly statements, so that I can verify statement generation and contents.","F-3","Allow PDF download of individual statements"
"US-96","As a HUD admin, I want to view monthly statements, so that I can verify statement generation and contents.","F-4","Indicate missing statement months with icon"
"US-96","As a HUD admin, I want to view monthly statements, so that I can verify statement generation and contents.","F-5","Track downloads in audit log"
"US-97","As a HUD admin, I want to view customer service notes, so that borrower interactions are visible to all teams.","F-1","Add “Customer Service” tab"
"US-97","As a HUD admin, I want to view customer service notes, so that borrower interactions are visible to all teams.","F-2","Display read-only list of CSR notes with timestamps"
"US-97","As a HUD admin, I want to view customer service notes, so that borrower interactions are visible to all teams.","F-3","Enable search by keyword or date range"
"US-97","As a HUD admin, I want to view customer service notes, so that borrower interactions are visible to all teams.","F-4","Mask sensitive data per privacy rules"
"US-97","As a HUD admin, I want to view customer service notes, so that borrower interactions are visible to all teams.","F-5","Audit every note view"
"US-98","As a HUD admin, I want to view loan filing records, so that I can confirm regulatory filings are complete.","F-1","Add “Loan Filing” tab"
"US-98","As a HUD admin, I want to view loan filing records, so that I can confirm regulatory filings are complete.","F-2","Show filing type, jurisdiction, date, and status fields"
"US-98","As a HUD admin, I want to view loan filing records, so that I can confirm regulatory filings are complete.","F-3","Provide document download when filing PDF stored"
"US-98","As a HUD admin, I want to view loan filing records, so that I can confirm regulatory filings are complete.","F-4","Highlight overdue filings in red"
"US-98","As a HUD admin, I want to view loan filing records, so that I can confirm regulatory filings are complete.","F-5","Log view event for compliance"
"US-99","As a HUD admin, I want to view loan recording information, so that I can validate recorded instruments.","F-1","Insert “Recording” sub-tab under collateral section"
"US-99","As a HUD admin, I want to view loan recording information, so that I can validate recorded instruments.","F-2","List recording number, county, date recorded, instrument type"
"US-99","As a HUD admin, I want to view loan recording information, so that I can validate recorded instruments.","F-3","Link to recorded image file when available"
"US-99","As a HUD admin, I want to view loan recording information, so that I can validate recorded instruments.","F-4","Display “unrecorded” badge if missing data"
"US-99","As a HUD admin, I want to view loan recording information, so that I can validate recorded instruments.","F-5","Audit user access"
"US-100","As a HUD admin, I want to view borrower data, so that I can confirm participant identities and contact details.","F-1","Create “Borrowers” tab"
"US-100","As a HUD admin, I want to view borrower data, so that I can confirm participant identities and contact details.","F-2","Show grid of borrower names, roles, SSN masked, phone, email"
"US-100","As a HUD admin, I want to view borrower data, so that I can confirm participant identities and contact details.","F-3","Enable drill-down to borrower profile"
"US-100","As a HUD admin, I want to view borrower data, so that I can confirm participant identities and contact details.","F-4","Indicate primary borrower with icon"
"US-100","As a HUD admin, I want to view borrower data, so that I can confirm participant identities and contact details.","F-5","Log each borrower view"
"US-101","As a HUD admin, I want to view property inspection records, so that collateral condition is transparent.","F-1","Add “Property Inspection” tab"
"US-101","As a HUD admin, I want to view property inspection records, so that collateral condition is transparent.","F-2","List inspections with date, inspector, result, severity"
"US-101","As a HUD admin, I want to view property inspection records, so that collateral condition is transparent.","F-3","Provide link to photo set if stored"
"US-101","As a HUD admin, I want to view property inspection records, so that collateral condition is transparent.","F-4","Highlight failed inspections in red"
"US-101","As a HUD admin, I want to view property inspection records, so that collateral condition is transparent.","F-5","Record access in audit log"
"US-102","As a HUD admin, I want to add a property inspection, so that new inspection results are captured.","F-1","Display “Add Inspection” button on inspections tab"
"US-102","As a HUD admin, I want to add a property inspection, so that new inspection results are captured.","F-2","Provide form for date, inspector, outcome, notes, file upload"
"US-102","As a HUD admin, I want to add a property inspection, so that new inspection results are captured.","F-3","Validate required fields and file size limits"
"US-102","As a HUD admin, I want to add a property inspection, so that new inspection results are captured.","F-4","Save inspection and refresh list"
"US-102","As a HUD admin, I want to add a property inspection, so that new inspection results are captured.","F-5","Emit success notification"
"US-103","As a HUD admin, I want to view supporting documents, so that all loan files are easily accessible.","F-1","Provide “Documents” tab with searchable grid"
"US-103","As a HUD admin, I want to view supporting documents, so that all loan files are easily accessible.","F-2","Show document name, type, upload date, uploader"
"US-103","As a HUD admin, I want to view supporting documents, so that all loan files are easily accessible.","F-3","Allow secure download with permission check"
"US-103","As a HUD admin, I want to view supporting documents, so that all loan files are easily accessible.","F-4","Filter by document type"
"US-103","As a HUD admin, I want to view supporting documents, so that all loan files are easily accessible.","F-5","Log download events"
"US-104","As a HUD admin, I want to view internal notes, so that I can understand prior actions and decisions.","F-1","Add “Notes” tab"
"US-104","As a HUD admin, I want to view internal notes, so that I can understand prior actions and decisions.","F-2","Present chronological note list with author and timestamp"
"US-104","As a HUD admin, I want to view internal notes, so that I can understand prior actions and decisions.","F-3","Allow keyword search and date filter"
"US-104","As a HUD admin, I want to view internal notes, so that I can understand prior actions and decisions.","F-4","Display note details in modal"
"US-104","As a HUD admin, I want to view internal notes, so that I can understand prior actions and decisions.","F-5","Audit note access"
"US-105","As a HUD admin, I want to view property tax information, so that tax obligations are tracked.","F-1","Create “Property Taxes” tab"
"US-105","As a HUD admin, I want to view property tax information, so that tax obligations are tracked.","F-2","Display tax authority, amount, due date, payment status"
"US-105","As a HUD admin, I want to view property tax information, so that tax obligations are tracked.","F-3","Highlight delinquent taxes"
"US-105","As a HUD admin, I want to view property tax information, so that tax obligations are tracked.","F-4","Export tax data to CSV"
"US-105","As a HUD admin, I want to view property tax information, so that tax obligations are tracked.","F-5","Record page access"
"US-106","As a HUD admin, I want to view and add set-aside/escrow transactions, so that escrow balances remain accurate.","F-1","Add “Escrow Transactions” tab"
"US-106","As a HUD admin, I want to view and add set-aside/escrow transactions, so that escrow balances remain accurate.","F-2","List existing transactions with type and amount"
"US-106","As a HUD admin, I want to view and add set-aside/escrow transactions, so that escrow balances remain accurate.","F-3","Provide “Add Escrow Transaction” form with validation"
"US-106","As a HUD admin, I want to view and add set-aside/escrow transactions, so that escrow balances remain accurate.","F-4","Update escrow balance on save"
"US-106","As a HUD admin, I want to view and add set-aside/escrow transactions, so that escrow balances remain accurate.","F-5","Log add and view actions"
"US-107","As a HUD admin, I want to view loan summary, so that I see high-level loan metrics at a glance.","F-1","Display summary widget with principal, interest rate, maturity"
"US-107","As a HUD admin, I want to view loan summary, so that I see high-level loan metrics at a glance.","F-2","Show delinquency status and next due date"
"US-107","As a HUD admin, I want to view loan summary, so that I see high-level loan metrics at a glance.","F-3","Refresh summary data on loan switch"
"US-107","As a HUD admin, I want to view loan summary, so that I see high-level loan metrics at a glance.","F-4","Provide print-friendly summary view"
"US-107","As a HUD admin, I want to view loan summary, so that I see high-level loan metrics at a glance.","F-5","Audit each summary load"
"US-108","As a HUD admin, I want to edit loan summary, so that corrections or updates are reflected immediately.","F-1","Enable “Edit” button on summary widget"
"US-108","As a HUD admin, I want to edit loan summary, so that corrections or updates are reflected immediately.","F-2","Provide inline editable fields with validation rules"
"US-108","As a HUD admin, I want to edit loan summary, so that corrections or updates are reflected immediately.","F-3","Persist changes to database after save"
"US-108","As a HUD admin, I want to edit loan summary, so that corrections or updates are reflected immediately.","F-4","Show change confirmation message"
"US-108","As a HUD admin, I want to edit loan summary, so that corrections or updates are reflected immediately.","F-5","Write before/after values to change log"
"US-109","As a HUD admin, I want to edit loan detail, so that full loan attributes stay current.","F-1","Display “Edit Loan Detail” action"
"US-109","As a HUD admin, I want to edit loan detail, so that full loan attributes stay current.","F-2","Open form with term, rate, product, investor fields"
"US-109","As a HUD admin, I want to edit loan detail, so that full loan attributes stay current.","F-3","Validate numeric and date inputs"
"US-109","As a HUD admin, I want to edit loan detail, so that full loan attributes stay current.","F-4","Save changes and refresh detail view"
"US-109","As a HUD admin, I want to edit loan detail, so that full loan attributes stay current.","F-5","Record edit in audit history"
"US-110","As a HUD admin, I want to edit loan filing records, so that filing corrections can be made.","F-1","Provide “Edit Filing” button on filing tab"
"US-110","As a HUD admin, I want to edit loan filing records, so that filing corrections can be made.","F-2","Make fields editable: filing date, jurisdiction, status"
"US-110","As a HUD admin, I want to edit loan filing records, so that filing corrections can be made.","F-3","Require mandatory fields before save"
"US-110","As a HUD admin, I want to edit loan filing records, so that filing corrections can be made.","F-4","Persist updates and show success banner"
"US-110","As a HUD admin, I want to edit loan filing records, so that filing corrections can be made.","F-5","Log modification event"
"US-111","As a HUD admin, I want to edit loan recording data, so that recording details are accurate.","F-1","Add “Edit Recording” action"
"US-111","As a HUD admin, I want to edit loan recording data, so that recording details are accurate.","F-2","Open editable form with recording number, date, county"
"US-111","As a HUD admin, I want to edit loan recording data, so that recording details are accurate.","F-3","Validate format of recording number"
"US-111","As a HUD admin, I want to edit loan recording data, so that recording details are accurate.","F-4","Save and refresh recording list"
"US-111","As a HUD admin, I want to edit loan recording data, so that recording details are accurate.","F-5","Write update to audit log"
"US-112","As a HUD admin, I want to edit borrower information, so that borrower records stay up to date.","F-1","Provide “Edit Borrower” icon in borrower grid"
"US-112","As a HUD admin, I want to edit borrower information, so that borrower records stay up to date.","F-2","Allow update of address, contact, role, percent ownership"
"US-112","As a HUD admin, I want to edit borrower information, so that borrower records stay up to date.","F-3","Enforce SSN mask and validation"
"US-112","As a HUD admin, I want to edit borrower information, so that borrower records stay up to date.","F-4","Persist updates and refresh grid"
"US-112","As a HUD admin, I want to edit borrower information, so that borrower records stay up to date.","F-5","Log the change with old/new values"
"US-113","As a HUD admin, I want to view exception records, so that I can identify outstanding issues on the loan.","F-1","Add “Exceptions” tab"
"US-113","As a HUD admin, I want to view exception records, so that I can identify outstanding issues on the loan.","F-2","List exceptions with code, description, priority, status"
"US-113","As a HUD admin, I want to view exception records, so that I can identify outstanding issues on the loan.","F-3","Filter by open/closed status"
"US-113","As a HUD admin, I want to view exception records, so that I can identify outstanding issues on the loan.","F-4","Sort by priority descending default"
"US-113","As a HUD admin, I want to view exception records, so that I can identify outstanding issues on the loan.","F-5","Audit every exception view"
"US-114","As a HUD admin, I want to add a new exception, so that unresolved issues are formally tracked.","F-1","Display “Add Exception” button"
"US-114","As a HUD admin, I want to add a new exception, so that unresolved issues are formally tracked.","F-2","Provide form with code, description, due date, owner"
"US-114","As a HUD admin, I want to add a new exception, so that unresolved issues are formally tracked.","F-3","Validate required and date fields"
"US-114","As a HUD admin, I want to add a new exception, so that unresolved issues are formally tracked.","F-4","Save exception and refresh list"
"US-114","As a HUD admin, I want to add a new exception, so that unresolved issues are formally tracked.","F-5","Emit notification to assigned owner"
"US-115","As a HUD admin, I want to view mortgage release data, so that lien release processing is monitored.","F-1","Insert “Mortgage Release” tab"
"US-115","As a HUD admin, I want to view mortgage release data, so that lien release processing is monitored.","F-2","Show release request date, status, recorded number"
"US-115","As a HUD admin, I want to view mortgage release data, so that lien release processing is monitored.","F-3","Link to recorded release document"
"US-115","As a HUD admin, I want to view mortgage release data, so that lien release processing is monitored.","F-4","Highlight releases past due"
"US-115","As a HUD admin, I want to view mortgage release data, so that lien release processing is monitored.","F-5","Record view in audit"
"US-116","As a HUD admin, I want to view servicing activity, so that I can oversee all service actions on the loan.","F-1","Provide “Servicing” tab with activity timeline"
"US-116","As a HUD admin, I want to view servicing activity, so that I can oversee all service actions on the loan.","F-2","Display activity type, assigned user, start and end dates"
"US-116","As a HUD admin, I want to view servicing activity, so that I can oversee all service actions on the loan.","F-3","Filter by active/inactive status"
"US-116","As a HUD admin, I want to view servicing activity, so that I can oversee all service actions on the loan.","F-4","Export servicing list to Excel"
"US-116","As a HUD admin, I want to view servicing activity, so that I can oversee all service actions on the loan.","F-5","Log servicing tab access"
"US-117","As a HUD admin, I want to view foreclosure information, so that foreclosure status is transparent.","F-1","Create “Foreclosure” tab"
"US-117","As a HUD admin, I want to view foreclosure information, so that foreclosure status is transparent.","F-2","Show stage, attorney, sale date, amount due"
"US-117","As a HUD admin, I want to view foreclosure information, so that foreclosure status is transparent.","F-3","Indicate milestones completed with checkmarks"
"US-117","As a HUD admin, I want to view foreclosure information, so that foreclosure status is transparent.","F-4","Provide document links for legal filings"
"US-117","As a HUD admin, I want to view foreclosure information, so that foreclosure status is transparent.","F-5","Audit view event"
"US-118","As a HUD admin, I want to view bankruptcy information, so that I can track court proceedings impacting the loan.","F-1","Add “Bankruptcy” tab"
"US-118","As a HUD admin, I want to view bankruptcy information, so that I can track court proceedings impacting the loan.","F-2","Display chapter, filing date, status, case number"
"US-118","As a HUD admin, I want to view bankruptcy information, so that I can track court proceedings impacting the loan.","F-3","Flag active bankruptcies in red"
"US-118","As a HUD admin, I want to view bankruptcy information, so that I can track court proceedings impacting the loan.","F-4","Link to PACER docket PDF when stored"
"US-118","As a HUD admin, I want to view bankruptcy information, so that I can track court proceedings impacting the loan.","F-5","Log access for compliance"
"US-119","As a HUD admin, I want to view ACH information, so that payment routing details are verified.","F-1","Provide “ACH Info” section on loan detail"
"US-119","As a HUD admin, I want to view ACH information, so that payment routing details are verified.","F-2","Show bank name, account masked, routing number, status"
"US-119","As a HUD admin, I want to view ACH information, so that payment routing details are verified.","F-3","Validate routing number format on display"
"US-119","As a HUD admin, I want to view ACH information, so that payment routing details are verified.","F-4","Indicate ACH active/inactive with badge"
"US-119","As a HUD admin, I want to view ACH information, so that payment routing details are verified.","F-5","Record view in audit"
"US-120","As a HUD admin, I want to view all loan transactions, so that I can audit financial activity.","F-1","Add “Transactions” tab with paginated grid"
"US-120","As a HUD admin, I want to view all loan transactions, so that I can audit financial activity.","F-2","Display type, amount, effective date, reference number"
"US-120","As a HUD admin, I want to view all loan transactions, so that I can audit financial activity.","F-3","Support sort and multi-column filter"
"US-120","As a HUD admin, I want to view all loan transactions, so that I can audit financial activity.","F-4","Export selected transactions to CSV"
"US-120","As a HUD admin, I want to view all loan transactions, so that I can audit financial activity.","F-5","Log export and view events"
"US-121","As a HUD admin, I want to add a transaction requiring check information, so that physical check payments are recorded correctly.","F-1","Provide “Check Payment” option in Add Transaction form"
"US-121","As a HUD admin, I want to add a transaction requiring check information, so that physical check payments are recorded correctly.","F-2","Require check number, bank name, routing, account fields"
"US-121","As a HUD admin, I want to add a transaction requiring check information, so that physical check payments are recorded correctly.","F-3","Validate numeric formats pre-save"
"US-121","As a HUD admin, I want to add a transaction requiring check information, so that physical check payments are recorded correctly.","F-4","Persist transaction with check metadata"
"US-121","As a HUD admin, I want to add a transaction requiring check information, so that physical check payments are recorded correctly.","F-5","Confirm save with success banner"
"US-122","As a HUD admin, I want to add a CTB (Change to Balance) transaction, so that balance adjustments are documented.","F-1","Include CTB type in transaction type dropdown"
"US-122","As a HUD admin, I want to add a CTB (Change to Balance) transaction, so that balance adjustments are documented.","F-2","Require adjustment amount and reason"
"US-122","As a HUD admin, I want to add a CTB (Change to Balance) transaction, so that balance adjustments are documented.","F-3","Prevent negative balance via validation"
"US-122","As a HUD admin, I want to add a CTB (Change to Balance) transaction, so that balance adjustments are documented.","F-4","Save CTB transaction and update loan balance"
"US-122","As a HUD admin, I want to add a CTB (Change to Balance) transaction, so that balance adjustments are documented.","F-5","Write CTB entry to audit trail"
"US-123","As a HUD admin, I want to add a transaction after a CTB submission, so that subsequent related activity is linked properly.","F-1","Detect last CTB transaction and suggest linkage"
"US-123","As a HUD admin, I want to add a transaction after a CTB submission, so that subsequent related activity is linked properly.","F-2","Pre-fill reference field with CTB ID"
"US-123","As a HUD admin, I want to add a transaction after a CTB submission, so that subsequent related activity is linked properly.","F-3","Validate linkage before save"
"US-123","As a HUD admin, I want to add a transaction after a CTB submission, so that subsequent related activity is linked properly.","F-4","Persist new transaction and update history"
"US-123","As a HUD admin, I want to add a transaction after a CTB submission, so that subsequent related activity is linked properly.","F-5","Display confirmation with linked CTB reference"
"US-124","As a HUD admin, I want to add an annual certification compliance transaction, so that certification fees are tracked.","F-1","Provide “Annual Certification” in transaction type list"
"US-124","As a HUD admin, I want to add an annual certification compliance transaction, so that certification fees are tracked.","F-2","Require certification year and amount"
"US-124","As a HUD admin, I want to add an annual certification compliance transaction, so that certification fees are tracked.","F-3","Validate year is current or prior"
"US-124","As a HUD admin, I want to add an annual certification compliance transaction, so that certification fees are tracked.","F-4","Save transaction and tag compliance flag"
"US-124","As a HUD admin, I want to add an annual certification compliance transaction, so that certification fees are tracked.","F-5","Log addition in audit"
"US-125","As a HUD admin, I want to clear a disbursement, so that reconciled payouts are marked complete.","F-1","Add “Clear” action on disbursement row"
"US-125","As a HUD admin, I want to clear a disbursement, so that reconciled payouts are marked complete.","F-2","Prompt confirmation modal before clearing"
"US-125","As a HUD admin, I want to clear a disbursement, so that reconciled payouts are marked complete.","F-3","Update disbursement status to Cleared in DB"
"US-125","As a HUD admin, I want to clear a disbursement, so that reconciled payouts are marked complete.","F-4","Refresh totals to exclude cleared item"
"US-125","As a HUD admin, I want to clear a disbursement, so that reconciled payouts are marked complete.","F-5","Record clear action with user and timestamp"
"US-126","As a HUD admin, I want to partially void a disbursement, so that only unused funds are reversed.","F-1","Provide “Partial Void” option on disbursement actions"
"US-126","As a HUD admin, I want to partially void a disbursement, so that only unused funds are reversed.","F-2","Require input of void amount ≤ original"
"US-126","As a HUD admin, I want to partially void a disbursement, so that only unused funds are reversed.","F-3","Recalculate remaining disbursed amount upon save"
"US-126","As a HUD admin, I want to partially void a disbursement, so that only unused funds are reversed.","F-4","Show adjustment line in disbursement history"
"US-126","As a HUD admin, I want to partially void a disbursement, so that only unused funds are reversed.","F-5","Audit partial void event"
"US-127","As a HUD admin, I want to partially clear a disbursement, so that partial payments are correctly reflected.","F-1","Offer “Partial Clear” action with amount entry"
"US-127","As a HUD admin, I want to partially clear a disbursement, so that partial payments are correctly reflected.","F-2","Validate amount ≤ outstanding balance"
"US-127","As a HUD admin, I want to partially clear a disbursement, so that partial payments are correctly reflected.","F-3","Update cleared amount and remaining balance fields"
"US-127","As a HUD admin, I want to partially clear a disbursement, so that partial payments are correctly reflected.","F-4","Display partial clear in history table"
"US-127","As a HUD admin, I want to partially clear a disbursement, so that partial payments are correctly reflected.","F-5","Log action for compliance"
"US-128","As a HUD admin, I want to add a payoff request, so that payoff processing is initiated and tracked.","F-1","Add “New Payoff Request” button on Payoff tab"
"US-128","As a HUD admin, I want to add a payoff request, so that payoff processing is initiated and tracked.","F-2","Collect requested good-through date and requestor info"
"US-128","As a HUD admin, I want to add a payoff request, so that payoff processing is initiated and tracked.","F-3","Generate unique payoff request ID"
"US-128","As a HUD admin, I want to add a payoff request, so that payoff processing is initiated and tracked.","F-4","Save request with status “Pending”"
"US-128","As a HUD admin, I want to add a payoff request, so that payoff processing is initiated and tracked.","F-5","Notify servicing queue of new request"
"US-129","As a HUD admin, I want to print a payoff letter, so that borrowers receive official payoff amounts.","F-1","Provide “Print Payoff Letter” action for approved requests"
"US-129","As a HUD admin, I want to print a payoff letter, so that borrowers receive official payoff amounts.","F-2","Generate letter PDF with current payoff figures"
"US-129","As a HUD admin, I want to print a payoff letter, so that borrowers receive official payoff amounts.","F-3","Render preview before printing"
"US-129","As a HUD admin, I want to print a payoff letter, so that borrowers receive official payoff amounts.","F-4","Log letter generation date and user"
"US-129","As a HUD admin, I want to print a payoff letter, so that borrowers receive official payoff amounts.","F-5","Attach letter to loan documents automatically"
"US-130","As a HUD admin, I want to submit payoff payment information, so that payoff completion is recorded.","F-1","Add “Submit Payoff Payment” form capturing payment type, amount, date"
"US-130","As a HUD admin, I want to submit payoff payment information, so that payoff completion is recorded.","F-2","Validate payment equals payoff amount"
"US-130","As a HUD admin, I want to submit payoff payment information, so that payoff completion is recorded.","F-3","Change payoff request status to “Paid” on save"
"US-130","As a HUD admin, I want to submit payoff payment information, so that payoff completion is recorded.","F-4","Trigger mortgage release workflow"
"US-130","As a HUD admin, I want to submit payoff payment information, so that payoff completion is recorded.","F-5","Record payment submission in audit log"
